method,component,theory_GPa,experiment_GPa,abs_diff_GPa,pct_error
PFP/PBE+D3,C11,98.50,72.30,26.200,36.24
PFP/PBE+D3,C12,36.20,59.40,23.200,39.06
PFP/PBE+D3,C13,36.50,35.80,0.700,1.96
PFP/PBE+D3,C33,121.10,88.40,32.700,36.99
PFP/PBE+D3,C44,22.90,22.00,0.900,4.09
PFP/PBE+D3,C66,16.20,24.00,7.800,32.50
DFT/PBE,C11,89.70,72.30,17.400,24.07
DFT/PBE,C12,17.40,59.40,42.000,70.71
DFT/PBE,C13,31.50,35.80,4.300,12.01
DFT/PBE,C33,91.80,88.40,3.400,3.85
DFT/PBE,C44,17.90,22.00,4.100,18.64
DFT/PBE,C66,17.60,24.00,6.400,26.67
MEAM/Ko 2018,C11,89.75,72.30,17.450,24.13
MEAM/Ko 2018,C12,46.67,59.40,12.730,21.43
MEAM/Ko 2018,C13,36.92,35.80,1.120,3.13
MEAM/Ko 2018,C33,93.73,88.40,5.330,6.03
MEAM/Ko 2018,C44,7.93,22.00,14.070,63.95
MEAM/Ko 2018,C66,10.63,24.00,13.370,55.71
PFP/PBE,C11,114.00,72.30,41.700,57.68
PFP/PBE,C12,41.50,59.40,17.900,30.13
PFP/PBE,C13,41.20,35.80,5.400,15.08
PFP/PBE,C33,104.60,88.40,16.200,18.33
PFP/PBE,C44,29.50,22.00,7.500,34.09
PFP/PBE,C66,31.90,24.00,7.900,32.92
PFP/R²SCAN,C11,118.00,72.30,45.700,63.21
PFP/R²SCAN,C12,15.20,59.40,44.200,74.41
PFP/R²SCAN,C13,40.70,35.80,4.900,13.69
PFP/R²SCAN,C33,129.70,88.40,41.300,46.72
PFP/R²SCAN,C44,29.70,22.00,7.700,35.00
PFP/R²SCAN,C66,24.80,24.00,0.800,3.33
MEAM/Ravelo 1997,C11,108.20,72.30,35.900,49.65
MEAM/Ravelo 1997,C12,63.80,59.40,4.400,7.41
MEAM/Ravelo 1997,C13,24.40,35.80,11.400,31.84
MEAM/Ravelo 1997,C33,139.60,88.40,51.200,57.92
MEAM/Ravelo 1997,C44,1.50,22.00,20.500,93.18
MEAM/Ravelo 1997,C66,22.40,24.00,1.600,6.67
PFP/R²SCAN+D3,C11,123.90,72.30,51.600,71.37
PFP/R²SCAN+D3,C12,20.70,59.40,38.700,65.15
PFP/R²SCAN+D3,C13,43.00,35.80,7.200,20.11
PFP/R²SCAN+D3,C33,132.10,88.40,43.700,49.43
PFP/R²SCAN+D3,C44,34.30,22.00,12.300,55.91
PFP/R²SCAN+D3,C66,27.20,24.00,3.200,13.33
MEAM/Etesami 2018,C11,131.60,72.30,59.300,82.02
MEAM/Etesami 2018,C12,48.70,59.40,10.700,18.01
MEAM/Etesami 2018,C13,16.60,35.80,19.200,53.63
MEAM/Etesami 2018,C33,157.10,88.40,68.700,77.71
MEAM/Etesami 2018,C44,2.40,22.00,19.600,89.09
MEAM/Etesami 2018,C66,28.00,24.00,4.000,16.67
