       Step     Time          Energy          fmax
LBFGS:    0 12:34:34     -166.157447        0.106542
LBFGS:    1 12:34:34     -166.158600        0.096485
LBFGS:    2 12:34:34     -166.164666        0.036170
LBFGS:    3 12:34:35     -166.164798        0.036561
LBFGS:    4 12:34:35     -166.165650        0.037552
LBFGS:    5 12:34:35     -166.166652        0.034133
LBFGS:    6 12:34:35     -166.167578        0.039404
LBFGS:    7 12:34:35     -166.168021        0.040081
LBFGS:    8 12:34:35     -166.168442        0.033250
LBFGS:    9 12:34:35     -166.168967        0.036175
LBFGS:   10 12:34:35     -166.169874        0.036160
LBFGS:   11 12:34:35     -166.170671        0.026569
LBFGS:   12 12:34:35     -166.170988        0.019659
LBFGS:   13 12:34:35     -166.171095        0.017312
LBFGS:   14 12:34:36     -166.171185        0.012721
