       Step     Time          Energy          fmax
LBFGS:    0 12:34:45     -146.840461        0.443658
LBFGS:    1 12:34:46     -146.851406        0.403804
LBFGS:    2 12:34:46     -146.900387        0.182295
LBFGS:    3 12:34:46     -146.904568        0.072835
LBFGS:    4 12:34:46     -146.905082        0.059260
LBFGS:    5 12:34:46     -146.907114        0.083470
LBFGS:    6 12:34:46     -146.908395        0.086438
LBFGS:    7 12:34:46     -146.909501        0.066851
LBFGS:    8 12:34:46     -146.910838        0.082756
LBFGS:    9 12:34:46     -146.912817        0.107507
LBFGS:   10 12:34:46     -146.916002        0.143094
LBFGS:   11 12:34:46     -146.920842        0.177798
LBFGS:   12 12:34:46     -146.926865        0.198269
LBFGS:   13 12:34:46     -146.935910        0.199616
LBFGS:   14 12:34:46     -146.946602        0.211241
LBFGS:   15 12:34:47     -146.955764        0.308083
LBFGS:   16 12:34:47     -146.975671        0.294625
LBFGS:   17 12:34:47     -147.013242        0.304876
LBFGS:   18 12:34:47     -147.035452        0.172921
LBFGS:   19 12:34:47     -147.051260        0.173295
LBFGS:   20 12:34:47     -147.096473        0.326475
LBFGS:   21 12:34:47     -147.072139        0.551602
LBFGS:   22 12:34:47     -147.120614        0.371511
LBFGS:   23 12:34:47     -147.134904        0.353914
LBFGS:   24 12:34:47     -147.258280        0.347308
LBFGS:   25 12:34:48     -147.281214        0.277937
LBFGS:   26 12:34:48     -147.320194        0.232197
LBFGS:   27 12:34:48     -147.360437        0.261126
LBFGS:   28 12:34:48     -147.404878        0.284697
LBFGS:   29 12:34:48     -147.443870        0.276415
LBFGS:   30 12:34:48     -147.470982        0.187426
LBFGS:   31 12:34:48     -147.490558        0.163305
LBFGS:   32 12:34:48     -147.501948        0.168818
LBFGS:   33 12:34:48     -147.508081        0.145638
LBFGS:   34 12:34:48     -147.516814        0.111085
LBFGS:   35 12:34:48     -147.525634        0.096961
LBFGS:   36 12:34:49     -147.530713        0.080783
LBFGS:   37 12:34:49     -147.532867        0.071987
LBFGS:   38 12:34:49     -147.534783        0.065501
LBFGS:   39 12:34:49     -147.537951        0.070381
LBFGS:   40 12:34:49     -147.542552        0.074116
LBFGS:   41 12:34:49     -147.547250        0.068847
LBFGS:   42 12:34:49     -147.550172        0.078520
LBFGS:   43 12:34:49     -147.551628        0.067408
LBFGS:   44 12:34:49     -147.553683        0.055294
LBFGS:   45 12:34:49     -147.557026        0.054411
LBFGS:   46 12:34:49     -147.560590        0.053435
LBFGS:   47 12:34:49     -147.562786        0.061518
LBFGS:   48 12:34:49     -147.563802        0.054220
LBFGS:   49 12:34:50     -147.564693        0.037231
LBFGS:   50 12:34:50     -147.565781        0.039960
LBFGS:   51 12:34:50     -147.566941        0.040669
LBFGS:   52 12:34:50     -147.567830        0.048733
LBFGS:   53 12:34:50     -147.568434        0.046021
LBFGS:   54 12:34:50     -147.569026        0.032796
LBFGS:   55 12:34:50     -147.569558        0.021613
LBFGS:   56 12:34:50     -147.569855        0.016521
LBFGS:   57 12:34:50     -147.570085        0.018085
LBFGS:   58 12:34:50     -147.570206        0.016877
LBFGS:   59 12:34:50     -147.570380        0.014272
