       Step     Time          Energy          fmax
LBFGS:    0 12:34:28     -147.365551        0.271437
LBFGS:    1 12:34:28     -147.375138        0.263329
LBFGS:    2 12:34:28     -147.463253        0.155152
LBFGS:    3 12:34:28     -147.470153        0.085955
LBFGS:    4 12:34:28     -147.471427        0.079452
LBFGS:    5 12:34:28     -147.478937        0.092349
LBFGS:    6 12:34:28     -147.484271        0.084139
LBFGS:    7 12:34:28     -147.487987        0.086930
LBFGS:    8 12:34:28     -147.489219        0.089059
LBFGS:    9 12:34:28     -147.490774        0.084337
LBFGS:   10 12:34:29     -147.493707        0.071706
LBFGS:   11 12:34:29     -147.498753        0.061753
LBFGS:   12 12:34:29     -147.504114        0.056847
LBFGS:   13 12:34:29     -147.507071        0.049601
LBFGS:   14 12:34:29     -147.507935        0.054317
LBFGS:   15 12:34:29     -147.508430        0.054230
LBFGS:   16 12:34:29     -147.509405        0.049546
LBFGS:   17 12:34:29     -147.510773        0.037034
LBFGS:   18 12:34:29     -147.512007        0.023342
LBFGS:   19 12:34:29     -147.512589        0.023205
LBFGS:   20 12:34:29     -147.512814        0.021298
LBFGS:   21 12:34:30     -147.513007        0.018905
LBFGS:   22 12:34:30     -147.513421        0.022081
LBFGS:   23 12:34:30     -147.513941        0.026656
LBFGS:   24 12:34:30     -147.514378        0.027857
LBFGS:   25 12:34:30     -147.514541        0.026534
LBFGS:   26 12:34:30     -147.514625        0.024472
LBFGS:   27 12:34:30     -147.514822        0.021493
LBFGS:   28 12:34:30     -147.515123        0.018483
LBFGS:   29 12:34:30     -147.515500        0.016602
LBFGS:   30 12:34:30     -147.515735        0.016829
LBFGS:   31 12:34:31     -147.515846        0.015824
LBFGS:   32 12:34:31     -147.515919        0.014439
