       Step     Time          Energy          fmax
LBFGS:    0 12:34:57     -102.525078        0.243117
LBFGS:    1 12:34:57     -102.529386        0.232063
LBFGS:    2 12:34:57     -102.564382        0.180135
LBFGS:    3 12:34:57     -102.566671        0.173777
LBFGS:    4 12:34:57     -102.610103        0.300295
LBFGS:    5 12:34:57     -102.617608        0.219464
LBFGS:    6 12:34:57     -102.623804        0.194972
LBFGS:    7 12:34:57     -102.676965        0.171225
LBFGS:    8 12:34:57     -102.690124        0.233179
LBFGS:    9 12:34:57     -102.696791        0.218689
LBFGS:   10 12:34:57     -102.727135        0.123190
LBFGS:   11 12:34:58     -102.737844        0.112160
LBFGS:   12 12:34:58     -102.751859        0.148288
LBFGS:   13 12:34:58     -102.756134        0.144577
LBFGS:   14 12:34:58     -102.770053        0.105668
LBFGS:   15 12:34:58     -102.777427        0.071499
LBFGS:   16 12:34:58     -102.781109        0.081701
LBFGS:   17 12:34:58     -102.782883        0.083198
LBFGS:   18 12:34:58     -102.785021        0.070089
LBFGS:   19 12:34:58     -102.787885        0.046507
LBFGS:   20 12:34:58     -102.789663        0.039135
LBFGS:   21 12:34:58     -102.790553        0.040218
LBFGS:   22 12:34:58     -102.790942        0.037016
LBFGS:   23 12:34:59     -102.791541        0.031706
LBFGS:   24 12:34:59     -102.792420        0.033853
LBFGS:   25 12:34:59     -102.793182        0.024969
LBFGS:   26 12:34:59     -102.793509        0.027965
LBFGS:   27 12:34:59     -102.793687        0.026650
LBFGS:   28 12:34:59     -102.793884        0.022779
LBFGS:   29 12:34:59     -102.794219        0.016764
LBFGS:   30 12:34:59     -102.794556        0.014638
