       Step     Time          Energy          fmax
LBFGS:    0 07:33:50     -108.402200        0.535120
LBFGS:    1 07:33:51     -108.417265        0.519879
LBFGS:    2 07:33:51     -108.508694        0.750222
LBFGS:    3 07:33:51     -108.561597        0.204477
LBFGS:    4 07:33:51     -108.570616        0.251727
LBFGS:    5 07:33:51     -108.576194        0.297457
LBFGS:    6 07:33:51     -108.586594        0.318177
LBFGS:    7 07:33:51     -108.604634        0.253539
LBFGS:    8 07:33:51     -108.618432        0.126671
LBFGS:    9 07:33:51     -108.623367        0.111361
LBFGS:   10 07:33:51     -108.625269        0.084611
LBFGS:   11 07:33:51     -108.625954        0.068948
LBFGS:   12 07:33:51     -108.627290        0.053901
LBFGS:   13 07:33:52     -108.629089        0.045566
LBFGS:   14 07:33:52     -108.630193        0.047115
LBFGS:   15 07:33:52     -108.630566        0.043877
LBFGS:   16 07:33:52     -108.630703        0.039437
LBFGS:   17 07:33:52     -108.630864        0.033646
LBFGS:   18 07:33:52     -108.631154        0.021764
LBFGS:   19 07:33:52     -108.631503        0.024581
LBFGS:   20 07:33:52     -108.631752        0.023398
LBFGS:   21 07:33:52     -108.631831        0.017423
