method,face,gamma_ideal_mJ_m2,gamma_min_mJ_m2
DFT/PBE (BFGS),100,492.2,492.2
DFT/PBE (BFGS),101,505.6,505.2
DFT/PBE (BFGS),110,519.1,519.1
DFT/PBE (BFGS),111,550.0,550.0
DFT/PBE (BFGS),001,570.7,501.5
PFP/PBE,100,385.5,385.2
PFP/PBE,101,412.7,412.7
PFP/PBE,110,487.0,468.3
PFP/PBE,111,417.1,416.9
PFP/PBE,001,460.1,412.8
PFP/PBE+D3,100,642.2,642.2
PFP/PBE+D3,101,832.5,679.2
PFP/PBE+D3,110,737.5,737.2
PFP/PBE+D3,111,685.1,685.0
PFP/PBE+D3,001,734.4,682.2
PFP/R²SCAN,100,784.6,466.2
PFP/R²SCAN,101,476.6,476.4
PFP/R²SCAN,110,599.3,565.9
PFP/R²SCAN,111,538.8,538.4
PFP/R²SCAN,001,527.5,486.9
PFP/R²SCAN+D3,100,614.8,592.6
PFP/R²SCAN+D3,101,707.3,627.8
PFP/R²SCAN+D3,110,730.6,730.3
PFP/R²SCAN+D3,111,690.1,690.1
PFP/R²SCAN+D3,001,680.4,637.9
MEAM/Ravelo 1997,100,735.0,734.8
MEAM/Ravelo 1997,101,818.3,818.1
MEAM/Ravelo 1997,110,954.2,890.0
MEAM/Ravelo 1997,111,909.3,909.0
MEAM/Ravelo 1997,001,896.8,877.4
MEAM/Etesami 2018,100,1376.3,1375.3
MEAM/Etesami 2018,101,1354.7,1353.8
MEAM/Etesami 2018,110,1587.4,1547.3
MEAM/Etesami 2018,111,1384.7,1384.6
MEAM/Etesami 2018,001,1299.7,1295.3
MEAM/Ko 2018,100,345.4,345.4
MEAM/Ko 2018,101,367.2,367.1
MEAM/Ko 2018,110,494.3,472.4
MEAM/Ko 2018,111,472.8,457.2
MEAM/Ko 2018,001,485.3,403.0
